Country,Year,Consumption,Type,Classification
Algeria,2000,0.37,Oil,Traditional
Algeria,2001,0.38,Oil,Traditional
Algeria,2002,0.43,Oil,Traditional
Algeria,2003,0.44,Oil,Traditional
Algeria,2004,0.46,Oil,Traditional
Algeria,2005,0.48,Oil,Traditional
Algeria,2006,0.5,Oil,Traditional
Algeria,2007,0.56,Oil,Traditional
Algeria,2008,0.61,Oil,Traditional
Algeria,2009,0.65,Oil,Traditional
Algeria,2010,0.65,Oil,Traditional
Algeria,2011,0.69,Oil,Traditional
Algeria,2012,0.74,Oil,Traditional
Algeria,2013,0.77,Oil,Traditional
Algeria,2014,0.8,Oil,Traditional
Algeria,2015,0.85,Oil,Traditional
Algeria,2016,0.83,Oil,Traditional
Algeria,2017,0.81,Oil,Traditional
Algeria,2018,0.83,Oil,Traditional
Algeria,2019,0.88,Oil,Traditional
Argentina,2000,0.87,Oil,Traditional
Argentina,2001,0.84,Oil,Traditional
Argentina,2002,0.77,Oil,Traditional
Argentina,2003,0.8,Oil,Traditional
Argentina,2004,0.84,Oil,Traditional
Argentina,2005,0.89,Oil,Traditional
Argentina,2006,0.94,Oil,Traditional
Argentina,2007,1.04,Oil,Traditional
Argentina,2008,1.07,Oil,Traditional
Argentina,2009,1.05,Oil,Traditional
Argentina,2010,1.17,Oil,Traditional
Argentina,2011,1.18,Oil,Traditional
Argentina,2012,1.22,Oil,Traditional
Argentina,2013,1.31,Oil,Traditional
Argentina,2014,1.29,Oil,Traditional
Argentina,2015,1.32,Oil,Traditional
Argentina,2016,1.29,Oil,Traditional
Argentina,2017,1.26,Oil,Traditional
Argentina,2018,1.2,Oil,Traditional
Argentina,2019,1.19,Oil,Traditional
Australia,2000,1.68,Oil,Traditional
Australia,2001,1.69,Oil,Traditional
Australia,2002,1.69,Oil,Traditional
Australia,2003,1.69,Oil,Traditional
Australia,2004,1.74,Oil,Traditional
Australia,2005,1.72,Oil,Traditional
Australia,2006,1.87,Oil,Traditional
Australia,2007,1.84,Oil,Traditional
Australia,2008,1.85,Oil,Traditional
Australia,2009,1.83,Oil,Traditional
Australia,2010,1.82,Oil,Traditional
Australia,2011,1.94,Oil,Traditional
Australia,2012,2.01,Oil,Traditional
Australia,2013,2.05,Oil,Traditional
Australia,2014,2.07,Oil,Traditional
Australia,2015,2,Oil,Traditional
Australia,2016,2.01,Oil,Traditional
Australia,2017,2.1,Oil,Traditional
Australia,2018,2.16,Oil,Traditional
Australia,2019,2.14,Oil,Traditional
Austria,2000,0.51,Oil,Traditional
Austria,2001,0.56,Oil,Traditional
Austria,2002,0.57,Oil,Traditional
Austria,2003,0.61,Oil,Traditional
Austria,2004,0.6,Oil,Traditional
Austria,2005,0.59,Oil,Traditional
Austria,2006,0.59,Oil,Traditional
Austria,2007,0.56,Oil,Traditional
Austria,2008,0.55,Oil,Traditional
Austria,2009,0.53,Oil,Traditional
Austria,2010,0.55,Oil,Traditional
Austria,2011,0.51,Oil,Traditional
Austria,2012,0.51,Oil,Traditional
Austria,2013,0.53,Oil,Traditional
Austria,2014,0.51,Oil,Traditional
Austria,2015,0.5,Oil,Traditional
Austria,2016,0.52,Oil,Traditional
Austria,2017,0.53,Oil,Traditional
